scian,descripcion
4350,"""Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general"""
4360,"""Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones"""
4370,Intermediación de comercio al por mayor
4399,"""Descripciones insuficientemente especificadas de subsector de actividad del sector 43, Comercio al por mayor"""
4611,"""Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco"""
4612,"""Comercio ambulante de abarrotes, alimentos, bebidas, hielo y tabaco"""
4620,Comercio al por menor en tiendas de autoservicio y departamentales
4631,"""Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado"""
4632,"""Comercio ambulante de productos textiles, bisutería, accesorios de vestir y calzado"""
4641,Comercio al por menor de artículos para el cuidado de la salud
4642,Comercio ambulante de artículos para el cuidado de la salud
4651,"""Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal"""
4652,"""Comercio ambulante de artículos de papelería, para el esparcimiento y otros artículos de uso personal"""
4661,"""Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y de artículos usados"""
4662,"""Comercio ambulante de muebles, artículos para el hogar y de artículos usados"""
4671,"""Comercio al por menor de artículos de ferretería, tlapalería y vidrios"""
4672,"""Comercio ambulante de artículos de ferretería, tlapalería"""
4681,"""Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes"""
4682,"""Comercio ambulante de partes y refacciones para automóviles, camionetas y combustibles"""
4690,"""Comercio al por menor exclusivamente a través de Internet, y catálogos impresos, televisión y similares"""
4699,"""Descripciones insuficientemente especificadas de subsector de actividad del sector 43, Comercio al por menor"""
4810,Transporte aéreo
4820,Transporte por ferrocarril
4830,Transporte por agua
4840,Autotransporte de carga
4850,"""Transporte terrestre de pasajeros, excepto por ferrocarril"""
4860,Transporte por ductos
4870,Transporte turístico
4881,Servicios relacionados con el transporte
4882,"""Servicios de reparación y limpieza exterior de aviones, barcos y trenes"""
4910,Servicios postales
4920,Servicios de mensajería y paquetería
4930,Servicios de almacenamiento
5110,"""Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión"""
5120,"""Industria fílmica y del video, e industria del sonido"""
5150,Radio y televisión
5170,Otras telecomunicaciones
5180,"""Procesamiento electrónico de información, hospedaje y otros servicios relacionados"""
5190,Otros servicios de información
5210,Banca central (Banco de México)
5221,"""Banca múltiple, y administración de fondos y fideicomisos del sector privado"""
5222,Otras instituciones de intermediación crediticia y financiera no bursátil del sector privado
5223,"""Banca de desarrollo, y administración de fondos y fideicomisos del sector público"""
5230,"""Actividades bursátiles, cambiarias y de inversión financiera"""
5240,"""Compañías de fianzas, seguros y pensiones"""
5310,Servicios inmobiliarios
5321,"""Servicios de alquiler de automóviles, camiones y otros transportes terrestres"""
5322,"""Servicios de alquiler y centros de alquiler de bienes muebles, excepto equipo de transporte terrestre"""
5330,"""Servicios de alquiler de marcas registradas, patentes y franquicias"""
5411,"""Servicios profesionales, científicos y técnicos"""
5412,Servicios de investigación científica y desarrollo
5413,Servicios veterinarios
5414,Servicios de fotografía
5510,Corporativos
5611,"""Servicios de apoyo a los negocios, de empleo, apoyo secretarial y otros servicios de apoyo a los negocios"""
5612,"""Limpieza interior de aviones, barcos y trenes"""
5613,Servicios de limpieza y de instalación y mantenimiento de áreas verdes
5614,"""Servicios de investigación, protección y seguridad"""
5615,Agencias de viajes y servicios de reservaciones
5616,Servicios combinados de apoyo a instalaciones
5620,Manejo de desechos y servicios de remediación
6111,"""Escuela de educación básica, media y especial pertenecientes al sector privado"""
6112,"""Escuela de educación básica, media y especial pertenecientes al sector público"""
6119,"""Escuela de educación básica, media y especial no especificadas de sector privado o público"""
6121,Escuelas de educación postbachillerato no universitaria perteneciente al sector privado
6122,Escuelas de educación postbachillerato no universitaria perteneciente al sector público
6131,Escuelas de educación superior pertenecientes al sector privado
6132,Escuelas de educación superior pertenecientes al sector público
6139,Escuelas de educación superior no especificadas de sector privado o público
6141,Otros servicios educativos pertenecientes al sector privado
6142,Otros servicios educativos pertenecientes al sector público
6150,Servicios de apoyo a la educación
6199,"""Descripciones insuficientemente especificadas de subsector de actividad del sector 61, Servicios educativos"""
6211,Servicios médicos de consulta externa y servicios relacionados pertenecientes al sector privado
6212,Servicios médicos de consulta externa y servicios relacionados pertenecientes al sector público
6219,Servicios médicos de consulta externa y servicios relacionados no especificados de sector privado o público
6221,Hospitales pertenecientes al sector privado
6222,Hospitales pertenecientes al sector público
6231,Residencias de asistencia social y para el cuidado de la salud pertenecientes al sector privado
6232,Residencias de asistencia social y para el cuidado de la salud pertenecientes al sector público
6241,Otros servicios de asistencia social pertenecientes al sector privado
6242,Otros servicios de asistencia social pertenecientes al sector público
6249,Otros servicios de asistencia social no especificados de sector privado o público
6251,Guarderías pertenecientes al sector privado
6252,Guarderías pertenecientes al sector público
6299,"""Descripciones insuficientemente especificadas de subsector de actividad del sector 62, Servicios de salud y de asistencia social"""
7111,Compañías y grupos de espectáculos artísticos
7112,Deportistas y equipos deportivos profesionales y semiprofesionales
7113,"""Promotores, agentes y representantes de espectáculos artísticos, deportivos y similares"""
7114,"""Artistas, escritores y técnicos independientes"""
7115,Trabajadores ambulantes en espectáculos
7120,"""Museos, sitios históricos, zoológicos y similares"""
7131,Parques con instalaciones recreativas y casas de juegos electrónicos
7132,Venta de billetes de lotería Nacional
7210,Servicios de alojamiento temporal
7221,Servicios de preparación de alimentos y bebidas
7222,Servicios de preparación de alimentos y bebidas por trabajadores en unidades ambulantes
7223,Centros nocturnos
8111,Servicios de reparación y mantenimiento de automóviles y camiones
8112,"""Servicios de reparación y mantenimiento de equipo, maquinaria, artículos para el hogar y personales"""
8119,Descripciones insuficientemente especificadas de servicios de reparación y mantenimiento
8121,Servicios personales
8122,Estacionamientos y pensiones para vehículos automotores
8123,Servicios de cuidado y de lavado de automóviles por trabajadores ambulantes.
8124,Servicios de revelado e impresión de fotografías
8125,Servicios de administración de cementerios
8130,Asociaciones y organizaciones
8140,Hogares con empleados domésticos
9311,Órganos legislativos
9312,Administración Pública Federal
9313,Administración Pública Estatal
9314,Administración Pública Municipal
9319,Descripciones de administración pública que no especifican el nivel de gobierno
9320,Organismos internacionales y extraterritoriales
9399,"""Descripciones insuficientemente especificadas de subsector de actividad del Sector 93, Actividades del gobierno y de organismos internacionales y extraterritoriales"""
9700,Trabajador de otro trabajador
9999,Descripciones insuficientemente especificadas generales de todo el catálogo
