gastos,descripcion
A081,"Otras leches: de burra, de cabra, de soya"
A082,Queso amarillo en rebanadas o para untar
A083,Queso añejo y cotija
A084,Queso chihuahua
A085,Queso fresco
A086,Queso manchego
A087,Queso oaxaca o asadero
A088,Otros quesos
A089,Crema
A090,Mantequilla
A091,Bebidas fermentadas de leche
A094,"Otros huevos: codorniz, pata, pava etcétera"
A095,"Aceite vegetal: canola, cártamo, girasol, maíz, etcétera"
A096,"Aceite de coco, oliva, soya"
A097,Margarina
A098,Manteca de puerco
A099,Manteca vegetal
A100,"Otros aceites: de bacalao, de tiburón, de tortuga, enjundia"
A101,Betabel y camote
A102,Papa
A103,Rábano
A104,Otros tubérculos
A105,Harina para puré de papa
A106,Papas fritas en bolsa o a granel
A107,"Acelgas, espinacas y verdolagas, quintolines, quelites y pipica"
A108,Aguacate
A109,Ajo
A110,Brócoli
A111,Calabacita y calabaza
A112,Cebolla
A113,Chayote
A114,Chícharo
A115,Chile jalapeño
A116,Chile poblano
A117,Chile serrano
A118,Otros chiles
A119,Cilantro
A120,Col y repollo
A121,Ejote
A122,Elote
A123,Epazote
A124,Jitomate
A125,Lechuga
A126,Nopal
A127,Pepino
A128,Perejil y yerbabuena
A129,Tomate verde
A130,Zanahoria
A131,"Otras verduras, pápalo, aceitunas, flor de calabaza, chaya"
A132,"Germinados de maíz, de soya, de trigo, de alfalfa"
A133,Chiles envasados
A134,Chile secos o en polvo
A135,"Verduras y legumbres envasadas , aceitunas, verduras encurtidas"
A136,Verduras y legumbres congeladas
A137,Frijol en grano
A138,Garbanzo en grano
A139,Haba amarilla o verde en grano
A140,Lenteja en grano
A141,Otras leguminosas en grano
A142,Frijol procesado
A143,Otras leguminosas procesadas
A144,Semillas a granel
A145,Semillas envasadas
A146,"Semillas procesadas, soya texturizada"
A147,"Anona, chirimoya, guanábana"
A148,"Cereza, frambuesa, fresa, zarzamora"
A149,"Chabacano, durazno, melocotón"
A150,Chicozapote y mamey
A151,Ciruela y jobo
A152,Guayaba
A153,Lima
A154,Limón
A155,"Mandarina, nectarina, tangerina"
A156,Toronja
A157,Mango
A158,Manzana y perón
A159,Melón
A160,Naranja
A161,Papaya
A162,Pera
A163,Piña
A164,Pitahaya y tuna
A165,Plátano macho y de castilla
A166,Plátano verde y tabasco
A167,"Otros plátanos (chiapas, dominico, guineo, manzano, dorado, portalimón y roatan)"
A168,Sandía
A169,Uva
A170,"Otras frutas: garambullo, granada, higo, jícama, kiwi, etcétera., arreglo frutal"
A171,Frutas en almíbar y conserva
A172,"Frutas cristalizadas, enchiladas y secas"
A173,Azúcar blanca y morena
A174,Miel de abeja
A175,Otras azúcares y mieles
A176,Café tostado en grano molido
A177,"Café tostado soluble, capuchino"
A178,Flor y hojas para té
A179,Té soluble (cualquier sabor)
A180,Chocolate en tableta
A181,Chocolate en polvo
A182,Otros chocolates
A183,Canela
A184,Clavo
A185,Yerbas de olor
A186,"Concentrados de pollo, tomate, camarón y res"
A187,Mayonesa
A188,Mole en pasta o en polvo
A189,Mostaza
A190,Pimienta
A191,Sal
A192,Salsas dulces y picantes
A193,Vinagre
A194,"Otros aderezos, especies y salsas, vainilla"
A195,"Cereal de arroz, avena, plátano, manzana, mixto para bebé"
A196,Papillas para bebé
A197,Jugos de frutas y verduras de cualquier combinación para bebé
A198,Pizzas preparadas
A199,Carnitas
A200,Pollo rostizado
A201,Barbacoa y birria
A202,"Otros alimentos preparados: atole, flautas, guisados, hot dog, sopas, tacos, tamales, tortas, sopes, menudo, pozole, licuados, gelatinas, elotes, etcétera"
A203,"Hongos frescos: champiñones, huitlacoche y setas"
A204,"Insectos: chapulines, chinicuiles, escamoles, gusanos de maguey, hormigas (chicatana), jumiles"
A205,"Flanes, gelatinas y pudines en polvo"
A206,"Cajetas, dulces de leche, jamoncillos y natillas"
A207,"Ates, crema de cacahuate, jaleas, mermelada"
A208,"Helados, nieves y paletas de hielo"
A209,"Otras golosinas, canasta de dulces"
A210,Molienda de nixtamal
A211,"Otros gastos relacionados con la preparación de alimentos, cal para nixtamal"
A212,"Alimentos y/o bebidas en paquete, despensa de alimentos que otorgan otros hogares"
A213,Alimento para animales domésticos
A214,Alimento para animales para uso del hogar
A215,Agua natural embotellada
A216,"Agua mineral, quina, desmineralizada con o sin sabor"
A217,Agua preparada y jugos naturales
A218,Jugos y néctares envasados
A219,Concentrados y polvos para preparar bebidas
A220,Refrescos de cola y de sabores
A221,Bebida energética
A222,"Hielo, Jarabe natural, lechugilla, sangrita, tascalate"
A223,Coñac y brandy
A224,Cerveza
A225,Anís (licor)
A226,Jerez
A227,Licor o cremas de frutas
A228,"Aguamiel, pulque, tlachique, tepache, tuba y bebidas fermentadas de maiz"
A229,"Aguardiente, alcohol de caña, charanda, mezcal"
A230,"Ron añejo, blanco, con limón"
A231,Rompope
A232,Sidra blanca y rosada
A233,"Tequila añejo, azul y blanco"
A234,"Vino de mesa blanco, rosado, tinto"
A235,Vodka
A236,Whisky
A237,Bebida alcohólica preparada
A238,Otras bebidas alcohólicas: champaña
A239,Cigarros
A240,Puros
A241,Tabaco en hoja y picado
A242,Despensa de alimentos que otorgan organizaciones privadas o de gobierno
A243,Desayuno
A244,Comida
A245,Cena
A246,Entrecomidas
A247,Otros eventos fuera de casa
B001,Metro o tren ligero
B002,Autobús
B003,Trolebús o metrobús
B004,"Colectivo, combi o microbús"
B005,"Taxi, radio-taxi (sitio)"
B006,Autobús foráneo
B007,"Otros transportes: lancha, panga o peaje, coche, camioneta, pick up"
C001,"Detergentes (polvo, líquido, pasta, gel)"
C002,Jabón de barra
C003,Blanqueadores
C004,Suavizantes de telas
C005,Limpiadores (en polvo o líquido)
C006,Servilletas y papel absorbente
C007,"Platos y vasos desechables, papel aluminio y encerado"
C008,"Escobas, trapeadores, recogedor"
C009,"Fibras, estropajos, escobetas, pinzas para ropa, lazos"
C010,Jergas y trapos de cocina
C011,Cerillos
C012,Pilas
C013,Focos
C014,Cera y limpia muebles
C015,"Insecticidas líquido, en polvo, pastilla, raid eléctrico"
C016,Desodorante ambiental y sanitario
C017,"Recipientes de lámina (cubetas, tinas, etcétera)"
C018,"Recipientes de plástico (cubetas, tinas, mangueras, etcétera)"
C019,Otros artículos
C020,Servicio doméstico
C021,Lavandería
C022,Tintorería
C023,Jardinería
C024,"Otros servicios: fumigación, limpieza de albercas, etcétera"
D001,Jabón de tocador
D002,Lociones y perfumes
D003,Pasta dental y enjuague bucal
D004,Hilo y cepillo dental
D005,"Champús, enjuagues, tratamiento para el cabello"
D006,Tintes y líquidos para permanente
D007,Desodorante y talco
D008,Bronceadores y bloqueadores
D009,"Crema para el cuerpo, para la cara y tratamiento facial"
D010,"Gel, spray, mousse para el cabello"
D011,Crema para afeitar y rastrillos
D012,"Cosméticos, polvo y maquillaje sombra, lápiz labial, delineador de ojos, etcétera"
D013,Esmalte para uñas
D014,"Papel sanitario, pañuelos desechables"
D015,Toallas sanitarias
D016,Pañales desechables
D017,"Artículos de tocador para bebé, toallas húmedas, talco para bebé"
D018,Cepillos y peines
D019,"Artículos eléctricos: rasuradora, secadora, lámpara para uñas, plancha de cabello, etcétera"
D020,Reparación y/o mantenimiento de los artículos anteriores
D021,"Otros: donas y mariposas para el cabello, limas de uñas, pasadores, moños, estuche de manicure, etcétera"
D022,Corte de cabello y peinado
D023,Baños y masajes
D024,Permanentes y tintes
D025,Manicure
D026,"Otros servicios: rasurar, depilar, tatuar, etcétera"
E001,Preescolar
E002,Primaria
E003,Secundaria
E004,Preparatoria o bachillerato
E005,Profesional
E006,Maestría y doctorado
E007,Educación Técnica
E008,Estancias infantiles (excepto preprimaria)
E009,Enseñanza adicional
E010,Educación especial para discapacitados
E011,Internados
E012,Cuidado de niños (persona particular)
E013,Transporte escolar
E014,Libros para la escuela
E015,"Gastos recurrentes en educación, como: credenciales, seguro médico, seguro de vida, cuotas a padres de familia"
E016,"Pago de imprevistos como: derecho a examen, examen extraordinario, cursos de regularización, titulación, etcétera"
E017,"Equipo escolar: máquinas de escribir, calculadora, etcétera"
E018,"Gastos recurrentes en educación técnica: credenciales, seguro médico, seguro de vida, cuotas a padres de familia"
E019,"Pago de imprevistos para educación técnica, como: derecho a examen, cursos de regularización, etcétera"
E020,"Material para la educación adicional, libros para colorear"
E021,Reparación y/o mantenimiento de equipo escolar
E022,Enciclopedia y libros (excluya los de la escuela)
E023,Periódicos
E024,Revistas
E025,"Audiocasetes, discos y discos compactos, Itunes, películas en DVD"
E026,"Otros, tarjetas de felicitación, bolsas para regalo, álbum fotográfico, agendas, posters, pinturas acrílicas, (material de papelería no escolar)"
E027,Cines
E028,Teatros y conciertos
E029,"Centros nocturnos (incluye alimentos, bebidas, tabaco, entrada, propinas, etcétera)"
E030,Espectáculos deportivos
E031,Lotería y juegos de azar
E032,"Cuotas a centros sociales, asociaciones, clubes, gimnasio, etcétera"
E033,"Renta de casetes para videojuegos, discos compactos y videocasetes"
E034,"Otros gastos de recreación: museos, ferias, juegos mecánicos, balnearios, boliche, servicios de series y películas por Internet, etcétera"
F001,Instalación de la línea de teléfono particular
F002,"Teléfonos celulares, pago inicial, equipo y accesorios"
F003,Compra de tarjeta para servicio de teléfono celular
F004,Teléfono público
F005,"Estampillas para correo, paquetería, telégrafo"
F006,"Otros servicios: Internet público, fax público, etcétera"
F007,Gasolina Magna
F008,Gasolina Premium
F009,Diesel y gas
F010,"Aceites, lubricantes y aditivos"
F011,Reparación de llantas
F012,Pensión y estacionamiento
F013,Lavado y engrasado
F014,"Otros servicios: encerado, inflado de llantas, etcétera"
G001,Cuota por la vivienda recibida como prestación en el trabajo
G002,Cuota de la vivienda en otra situación
G003,Cuota o pago a otro hogar
G004,Alquiler de terrenos
G005,Recolección de basura
G006,Cuotas de vigilancia
G007,Cuotas de administración
G008,Otros servicios
G009,Gas licuado de petróleo
G010,Petróleo
G011,Diesel
G012,Carbón
G013,Leña
G014,Combustible para calentar
G015,Velas y veladoras
G016,"Otros combustibles: cartón, papel, etcétera"
G101,Renta o alquiler de la vivienda
G102,Estimación del alquiler de la vivienda que es prestada
G103,Estimación del alquiler de vivienda propia y se está pagando
G104,Estimación del alquiler de la vivienda que es propia
G105,Estimación del alquiler de vivienda intestada o en litigio
G106,Estimación del alquiler de la vivienda en otra situación
